,,1,2,3,4,5,6,7,8,9,10
blues,words,im,baby,dont,love,know,got,oh,?,well,man
blues,frequencies,968.0,809.0,768.0,644.0,640.0,640.0,486.0,455.0,374.0,350.0
classical,words,im,one,come,love,!,dont,get,?,know,like
classical,frequencies,126.0,109.0,105.0,96.0,89.0,87.0,86.0,74.0,73.0,71.0
country,words,im,like,dont,love,got,yeah,know,oh,aint,?
country,frequencies,3013.0,2460.0,2382.0,2025.0,1959.0,1935.0,1908.0,1887.0,1712.0,1645.0
funk,words,get,!,baby,love,dont,oh,im,yeah,got,?
funk,frequencies,986.0,820.0,814.0,783.0,772.0,746.0,680.0,679.0,638.0,632.0
hiphop,words,im,like,yeah,nigga,got,dont,?,get,know,aint
hiphop,frequencies,5176.0,3895.0,3749.0,3248.0,2823.0,2722.0,2676.0,2399.0,2317.0,2036.0
indie_alt,words,im,like,yeah,nigga,got,dont,?,get,know,aint
indie_alt,frequencies,5176.0,3895.0,3749.0,3248.0,2823.0,2722.0,2676.0,2399.0,2317.0,2036.0
jazz,words,love,im,dont,know,?,baby,like,let,come,time
jazz,frequencies,490.0,351.0,284.0,231.0,223.0,220.0,206.0,184.0,182.0,181.0
metal,words,im,?,!,cant,dont,see,never,one,like,know
metal,frequencies,1644.0,1464.0,1462.0,887.0,874.0,791.0,774.0,760.0,745.0,710.0
pop,words,im,dont,oh,?,like,know,yeah,love,ooh,youre
pop,frequencies,3348.0,2287.0,2142.0,2006.0,1966.0,1918.0,1577.0,1408.0,1372.0,1356.0
punk,words,im,?,dont,know,like,oh,youre,!,go,never
punk,frequencies,1619.0,1181.0,1025.0,843.0,779.0,764.0,669.0,590.0,575.0,574.0
rnb,words,love,oh,yeah,im,baby,dont,know,like,?,youre
rnb,frequencies,1871.0,1817.0,1779.0,1612.0,1407.0,1394.0,1374.0,1166.0,1104.0,794.0
rock,words,im,?,dont,oh,like,know,yeah,time,love,go
rock,frequencies,3547.0,2629.0,2580.0,2502.0,1964.0,1889.0,1689.0,1480.0,1472.0,1416.0
romance,words,love,im,know,oh,baby,ill,dont,?,time,youre
romance,frequencies,1135.0,618.0,596.0,496.0,473.0,459.0,450.0,408.0,398.0,359.0
soul,words,love,oh,baby,dont,know,im,yeah,?,like,get
soul,frequencies,1689.0,1210.0,1194.0,1105.0,1058.0,1023.0,1016.0,819.0,650.0,630.0
